配置文件,配置类,配置项名称,字段,默认值,是否运行时加载,是否生效,读取模块,外部引用次数,是否旧版遗留,建议
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.followStartDistance,MERCENARY_FOLLOW_START_DISTANCE,12,是,有效,com/noah/raidenhancement/raid/MercenaryGolemController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.teleportDistance,MERCENARY_TELEPORT_DISTANCE,32,是,有效,com/noah/raidenhancement/raid/MercenaryGolemController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.tickIntervalTicks,MERCENARY_TICK_INTERVAL_TICKS,20,是,有效,com/noah/raidenhancement/raid/MercenaryGolemController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.followSpeed,MERCENARY_FOLLOW_SPEED,1.15D,是,有效,com/noah/raidenhancement/raid/MercenaryGolemController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.discardOnRaidEnd,MERCENARY_DISCARD_ON_RAID_END,false,是,已读取但未发现运行时消费者,无外部读取,0,疑似旧版遗留/预留,候选废弃；本版仅标记，不删除
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.effects.enabled,MERCENARY_EFFECTS_ENABLED,true,是,有效,com/noah/raidenhancement/raid/MercenaryGolemController.java,4,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.effects.applyOnSpawnOnly,MERCENARY_EFFECTS_APPLY_ON_SPAWN_ONLY,true,是,已读取但未发现运行时消费者,无外部读取,0,疑似旧版遗留/预留,候选废弃；本版仅标记，不删除
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.effects.repairMissingEffects,MERCENARY_EFFECTS_REPAIR_MISSING,true,是,有效,com/noah/raidenhancement/raid/MercenaryGolemController.java,2,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.effects.repairIntervalTicks,MERCENARY_EFFECTS_REPAIR_INTERVAL_TICKS,600,是,有效,com/noah/raidenhancement/raid/MercenaryGolemController.java,3,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.glowing.enabled,MERCENARY_GLOWING_ENABLED,true,是,有效,com/noah/raidenhancement/raid/MercenaryGolemController.java,2,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.glowing.teamName,MERCENARY_GLOWING_TEAM_NAME,"""rep_merc_gold""",是,有效,com/noah/raidenhancement/raid/MercenaryColorManager.java；com/noah/raidenhancement/raid/MercenaryGolemController.java,2,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.glowing.teamColor,MERCENARY_GLOWING_TEAM_COLOR,"""GOLD""",是,有效,com/noah/raidenhancement/raid/MercenaryColorManager.java,2,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.glowing.perPlayerColor,MERCENARY_GLOWING_PER_PLAYER_COLOR,true,是,有效,com/noah/raidenhancement/raid/MercenaryColorManager.java；com/noah/raidenhancement/raid/MercenaryGolemController.java,4,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.glowing.exclusivePlayerColors,MERCENARY_GLOWING_EXCLUSIVE_PLAYER_COLORS,true,是,有效,com/noah/raidenhancement/raid/MercenaryColorManager.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.glowing.releaseColorWhenNoActiveMercenaries,MERCENARY_GLOWING_RELEASE_COLOR_WHEN_NO_ACTIVE_MERCENARIES,false,是,有效,com/noah/raidenhancement/raid/MercenaryColorManager.java；com/noah/raidenhancement/raid/MercenaryGolemController.java,2,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.glowing.colorExhaustedPolicy,MERCENARY_GLOWING_COLOR_EXHAUSTED_POLICY,"""DENY""",是,有效,com/noah/raidenhancement/raid/MercenaryColorManager.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.glowing.colorPalette,MERCENARY_GLOWING_COLOR_PALETTE,"""GOLD,YELLOW,GREEN,AQUA,BLUE,LIGHT_PURPLE,RED,DARK_PURPLE,DARK_RED,DARK_AQUA,WHITE,GRAY""",是,有效,com/noah/raidenhancement/raid/MercenaryColorManager.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.glowing.teamPrefix,MERCENARY_GLOWING_TEAM_PREFIX,"""rep_m_""",是,有效,com/noah/raidenhancement/raid/MercenaryColorManager.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.persistence.enabled,MERCENARY_PERSISTENCE_ENABLED,true,是,有效,com/noah/raidenhancement/raid/MercenaryGolemController.java,3,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.persistence.scanIntervalTicks,MERCENARY_PERSISTENCE_SCAN_INTERVAL_TICKS,100,是,有效,com/noah/raidenhancement/raid/MercenaryGolemController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.persistence.scanRadius,MERCENARY_PERSISTENCE_SCAN_RADIUS,384,是,有效,com/noah/raidenhancement/raid/MercenaryGolemController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.damageProtection.pvpAware,MERCENARY_DAMAGE_PROTECTION_PVP_AWARE,true,是,有效,com/noah/raidenhancement/raid/MercenaryGolemController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.damageProtection.ownerCannotDamage,MERCENARY_DAMAGE_PROTECTION_OWNER_CANNOT_DAMAGE,true,是,有效,com/noah/raidenhancement/raid/MercenaryGolemController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.damageProtection.blockAllPlayerDamageWhenPvpDisabled,MERCENARY_DAMAGE_PROTECTION_BLOCK_ALL_PLAYER_DAMAGE_WHEN_PVP_DISABLED,true,是,有效,com/noah/raidenhancement/raid/MercenaryGolemController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,mercenary.damageProtection.allowOtherPlayersDamageWhenPvpEnabled,MERCENARY_DAMAGE_PROTECTION_ALLOW_OTHER_PLAYERS_DAMAGE_WHEN_PVP_ENABLED,true,是,有效,com/noah/raidenhancement/raid/MercenaryGolemController.java,1,否,保留
config/raid_enhancement_patch/battle_support_items.properties,BattleSupportConfig,debug.enabled,DEBUG_LOGS_ENABLED,false,是,有效,com/noah/raidenhancement/raid/BattleSupportController.java,1,否,保留
config/raid_enhancement_patch/key_diagnostics.properties,KeyDiagnosticsConfig,（非文件配置/代码常量）,CONFIG_STAGE,"""0.9.0.7-bossbar-dimension-safe-cleanup-alpha""",否,有效,com/noah/raidenhancement/raid/RaidKeyDiagnostics.java,1,否（代码常量）,保留；后续决定是否配置化
config/raid_enhancement_patch/key_diagnostics.properties,KeyDiagnosticsConfig,enabled,ENABLED,false,是,有效,com/noah/raidenhancement/raid/RaidIndependentBossbarManager.java；com/noah/raidenhancement/raid/RaidKeyDiagnostics.java,13,否,保留
config/raid_enhancement_patch/key_diagnostics.properties,KeyDiagnosticsConfig,log.raidDiscovery,LOG_RAID_DISCOVERY,true,是,有效,com/noah/raidenhancement/raid/RaidKeyDiagnostics.java,2,否,保留
config/raid_enhancement_patch/key_diagnostics.properties,KeyDiagnosticsConfig,log.settlement,LOG_SETTLEMENT,true,是,有效,com/noah/raidenhancement/raid/RaidKeyDiagnostics.java,2,否,保留
config/raid_enhancement_patch/key_diagnostics.properties,KeyDiagnosticsConfig,log.favor,LOG_FAVOR,true,是,有效,com/noah/raidenhancement/raid/RaidKeyDiagnostics.java,4,否,保留
config/raid_enhancement_patch/key_diagnostics.properties,KeyDiagnosticsConfig,log.bossbar,LOG_BOSSBAR,true,是,有效,com/noah/raidenhancement/raid/RaidIndependentBossbarManager.java；com/noah/raidenhancement/raid/RaidKeyDiagnostics.java,6,否,保留
config/raid_enhancement_patch/key_diagnostics.properties,KeyDiagnosticsConfig,log.storagePaths,LOG_STORAGE_PATHS,true,是,有效,com/noah/raidenhancement/raid/RaidKeyDiagnostics.java,2,否,保留
config/raid_enhancement_patch/key_diagnostics.properties,KeyDiagnosticsConfig,log.intervalTicks,LOG_INTERVAL_TICKS,100,是,有效,com/noah/raidenhancement/raid/RaidKeyDiagnostics.java,3,否,保留
config/raid_enhancement_patch/key_diagnostics.properties,KeyDiagnosticsConfig,log.maxPlayerKeysPerLine,MAX_PLAYER_KEYS_PER_LINE,3,是,有效,com/noah/raidenhancement/raid/RaidKeyDiagnostics.java,1,否,保留
config/raid_enhancement_patch/key_diagnostics.properties,KeyDiagnosticsConfig,bossbar.visibleAuthorityAudit.enabled,ENABLE_BOSSBAR_VISIBLE_AUTHORITY_AUDIT,true,是,有效,com/noah/raidenhancement/raid/RaidIndependentBossbarManager.java,4,否,保留
config/raid_enhancement_patch/key_diagnostics.properties,KeyDiagnosticsConfig,bossbar.visibleAuthorityAudit.intervalTicks,BOSSBAR_VISIBLE_AUDIT_INTERVAL_TICKS,20,是,有效,com/noah/raidenhancement/raid/RaidIndependentBossbarManager.java,1,否,保留
config/raid_enhancement_patch/key_diagnostics.properties,KeyDiagnosticsConfig,bossbar.visibleAuthorityAudit.temporaryRepTitleMarker,ENABLE_TEMPORARY_REP_BOSSBAR_TITLE_MARKER,true,是,有效,com/noah/raidenhancement/raid/RaidIndependentBossbarManager.java,2,否,保留
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,SCHEMA_VERSION,2,否,固定常量且未发现运行时消费者,无外部读取,0,疑似旧版常量/预留,候选废弃或文档化；本版不改
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,RAID_SESSION_ENABLED,true,否,固定常量且未发现运行时消费者,无外部读取,0,疑似旧版常量/预留,候选废弃或文档化；本版不改
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,SESSION_CLEANUP_INTERVAL_TICKS,200,否,有效,com/noah/raidenhancement/raid/RaidExtraWaveController.java；com/noah/raidenhancement/raid/RaidSessionManager.java,2,否（代码常量）,保留；后续决定是否配置化
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,MAX_TRACKED_RAIDERS_PER_RAID,256,否,有效,com/noah/raidenhancement/raid/RaidSession.java,2,否（代码常量）,保留；后续决定是否配置化
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,MAX_PROTECTED_VILLAGERS_PER_RAID,64,否,有效,com/noah/raidenhancement/raid/RaidExtraWaveController.java；com/noah/raidenhancement/raid/RaidSession.java；com/noah/raidenhancement/villager/VillagerProtectionController.java,3,否（代码常量）,保留；后续决定是否配置化
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,KNOWN_RAIDER_CACHE_ENABLED,true,否,有效,com/noah/raidenhancement/raid/RaidExtraWaveController.java,3,否（代码常量）,保留；后续决定是否配置化
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,KNOWN_RAIDER_CACHE_SCAN_INTERVAL_TICKS,20,否,有效,com/noah/raidenhancement/raid/RaidExtraWaveController.java,1,否（代码常量）,保留；后续决定是否配置化
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,KNOWN_RAIDER_CACHE_SCAN_RADIUS,128,否,有效,com/noah/raidenhancement/raid/RaidExtraWaveController.java,1,否（代码常量）,保留；后续决定是否配置化
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,KNOWN_RAIDER_CACHE_STALE_RECORD_TTL_TICKS,2400,否,有效,com/noah/raidenhancement/raid/RaidExtraWaveController.java,1,否（代码常量）,保留；后续决定是否配置化
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,KNOWN_RAIDER_CACHE_INACTIVE_SESSION_TTL_TICKS,12000,否,有效,com/noah/raidenhancement/raid/RaidSessionManager.java,1,否（代码常量）,保留；后续决定是否配置化
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,RAIDER_TIME_WEIGHT_ENABLED,true,否,固定常量且未发现运行时消费者,无外部读取,0,疑似旧版常量/预留,候选废弃或文档化；本版不改
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,RAIDER_TIME_WEIGHT_PILLAGER_SECONDS,8,否,有效,com/noah/raidenhancement/raid/RaiderTimeWeights.java,1,否（代码常量）,保留；后续决定是否配置化
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,RAIDER_TIME_WEIGHT_VINDICATOR_SECONDS,10,否,有效,com/noah/raidenhancement/raid/RaiderTimeWeights.java,1,否（代码常量）,保留；后续决定是否配置化
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,RAIDER_TIME_WEIGHT_WITCH_SECONDS,18,否,有效,com/noah/raidenhancement/raid/RaiderTimeWeights.java,1,否（代码常量）,保留；后续决定是否配置化
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,RAIDER_TIME_WEIGHT_EVOKER_SECONDS,28,否,有效,com/noah/raidenhancement/raid/RaiderTimeWeights.java,1,否（代码常量）,保留；后续决定是否配置化
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,RAIDER_TIME_WEIGHT_RAVAGER_SECONDS,45,否,有效,com/noah/raidenhancement/raid/RaiderTimeWeights.java,1,否（代码常量）,保留；后续决定是否配置化
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,RAIDER_TIME_WEIGHT_RAID_CAPTAIN_BONUS_SECONDS,8,否,有效,com/noah/raidenhancement/raid/RaiderTimeWeights.java,1,否（代码常量）,保留；后续决定是否配置化
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,RAIDER_TIME_WEIGHT_ZAPPER_SECONDS,35,否,有效,com/noah/raidenhancement/raid/RaiderTimeWeights.java,1,否（代码常量）,保留；后续决定是否配置化
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,RAIDER_TIME_WEIGHT_GOLEM_OF_LAST_RESORT_SECONDS,75,否,有效,com/noah/raidenhancement/raid/RaiderTimeWeights.java,1,否（代码常量）,保留；后续决定是否配置化
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,RAIDER_TIME_WEIGHT_RAID_BLIMP_SECONDS,90,否,有效,com/noah/raidenhancement/raid/RaiderTimeWeights.java,1,否（代码常量）,保留；后续决定是否配置化
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,RAIDER_TIME_WEIGHT_RAID_DRILL_SECONDS,110,否,有效,com/noah/raidenhancement/raid/RaiderTimeWeights.java,1,否（代码常量）,保留；后续决定是否配置化
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,RAIDER_TIME_WEIGHT_UNKNOWN_RAIDS_ENHANCED_SPECIAL_SECONDS,60,否,有效,com/noah/raidenhancement/raid/RaiderTimeWeights.java,1,否（代码常量）,保留；后续决定是否配置化
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,RAIDER_TIME_WEIGHT_UNKNOWN_RAIDER_SECONDS,10,否,有效,com/noah/raidenhancement/raid/RaiderTimeWeights.java,1,否（代码常量）,保留；后续决定是否配置化
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,WAVE_TIME_BUDGET_ENABLED,true,否,有效,com/noah/raidenhancement/raid/RaidExtraWaveController.java；com/noah/raidenhancement/raid/RaidSession.java,4,否（代码常量）,保留；后续决定是否配置化
config/raid_enhancement_patch/village_security.properties + hardcoded raid constants,RaidEnhancementConfig,（非文件配置/代码常量）,WAVE_TIME_BUDGET_RECALCULATE_INTERVAL_TICKS,20,否,有效,com/noah/raidenhancement/raid/RaidExtraWaveController.java,1,否（代码常量）,保留；后续决定是否配置化
